time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
1380,0,0,913,37,
1381,0,0,882,68,
1382,0,0,856,94,
1383,0,0,830,120,
1384,0,0,809,141,
1385,0,0,786,164,
1386,0,0,761,189,
1387,0,0,739,211,
1388,0,0,727,223,
1389,0,0,710,240,
1390,0,0,697,253,
1391,0,0,689,261,
1392,0,0,675,275,
1393,0,0,665,285,
1394,0,0,658,292,
1395,0,0,647,303,
1396,0,0,639,311,
1397,0,0,620,330,
1398,0,0,609,341,
1399,0,0,589,361,
1400,0,0,583,367,
1401,0,0,570,380,
1402,0,0,567,383,
1403,0,0,570,380,
1404,0,0,567,383,
1405,0,0,574,376,
1406,0,0,578,372,
1407,0,0,572,378,
1408,0,0,578,372,
1409,0,0,571,379,
1410,0,0,576,374,
1411,0,0,573,377,
1412,0,0,560,390,
1413,0,0,553,397,
1414,0,0,544,406,
1415,0,0,553,397,
1416,0,0,549,401,
1417,0,0,547,403,
1418,0,0,546,404,
1419,0,0,535,415,
1420,0,0,534,416,
1421,0,0,532,418,
1422,0,0,534,416,
1423,0,0,537,413,
1424,0,0,528,422,
1425,0,0,537,413,
1426,0,0,539,411,
1427,0,0,543,407,
1428,0,0,542,408,
1429,0,0,534,416,
1430,0,0,529,421,
1431,0,0,519,431,
1432,0,0,515,435,
1433,0,0,525,425,
1434,0,0,519,431,
1435,0,0,511,439,
1436,0,0,434,435,
1437,0,0,428,433,
1438,0,0,423,435,
1439,0,0,436,420,
1440,0,0,432,420,
1441,0,0,416,434,
1442,0,0,407,438,
1443,0,0,398,445,
1444,0,0,392,448,
1445,0,0,390,447,
1446,0,0,396,440,
1447,0,0,380,456,
1448,0,0,382,453,
1449,0,0,371,460,
1450,0,0,366,464,
1451,0,0,361,468,
1452,0,0,363,465,
1453,0,0,351,476,
1454,0,0,353,473,
1455,0,0,343,479,
1456,0,0,350,472,
1457,0,0,358,464,
1458,0,0,365,457,
1459,0,0,358,463,
1460,0,0,361,460,
1461,0,0,360,460,
1462,0,0,357,462,
1463,0,0,370,449,
1464,0,0,370,449,
1465,0,0,374,445,
1466,0,0,376,443,
1467,0,0,386,433,
1468,0,0,385,433,
1469,0,0,377,441,
1470,0,0,375,443,
1471,0,0,376,441,
1472,0,0,380,436,
1473,0,0,380,436,
1474,0,0,366,450,
1475,0,0,355,461,
1476,0,0,354,462,
1477,0,0,358,458,
1478,0,0,357,459,
1479,0,0,354,461,
1480,0,0,353,462,
1481,0,0,353,462,
1482,0,0,344,471,
1483,0,0,337,478,
1484,0,0,337,478,
1485,0,0,340,475,
1486,0,0,347,468,
1487,0,0,350,465,
1488,0,0,349,466,
1489,0,0,358,457,
1490,0,0,363,452,
1491,0,0,374,441,
1492,0,0,367,448,
1493,0,0,359,456,
1494,0,0,365,450,
1495,0,0,371,444,
1496,0,0,375,440,
1497,0,0,369,446,
1498,0,0,381,434,
1499,0,0,376,439,
1500,0,0,373,442,
1501,0,0,386,429,
1502,0,0,395,420,
1503,0,0,406,409,
1504,0,0,406,409,
1505,0,0,411,404,
1506,0,0,421,394,
1507,0,0,408,407,
1508,0,0,406,409,
1509,0,0,412,403,
1510,0,0,410,405,
1511,0,0,408,407,
1512,0,0,423,392,
1513,0,0,422,393,
1514,0,0,413,402,
1515,0,0,407,408,
1516,0,0,405,410,
1517,0,0,406,409,
1518,0,0,410,405,
1519,0,0,410,405,
1520,0,0,417,398,
1521,0,0,413,402,
1522,0,0,426,389,
1523,0,0,430,385,
1524,0,0,423,392,
1525,0,0,433,382,
1526,0,0,424,391,
1527,0,0,420,395,
1528,0,0,431,384,
1529,0,0,436,379,
1530,0,0,431,384,
1531,0,0,443,372,
1532,0,0,453,362,
1533,0,0,457,358,
1534,0,0,465,350,
1535,0,0,469,346,
1536,0,0,464,351,
1537,0,0,471,344,
1538,0,0,475,340,
1539,0,0,475,340,
1540,0,0,478,337,
1541,0,0,489,326,
1542,0,0,488,327,
1543,0,0,495,320,
1544,0,0,499,316,
1545,0,0,483,332,
1546,0,0,488,327,
1547,0,0,493,322,
1548,0,0,502,313,
1549,0,0,503,312,
1550,0,0,499,316,
1551,0,0,494,321,
1552,0,0,514,301,
1553,0,0,524,291,
1554,0,0,519,296,
1555,0,0,524,291,
1556,15,0,0,270,
1557,44,0,0,254,
1558,59,0,0,236,
1559,80,0,0,213,
